iter	Passed	Remaining
0	2	2742
1	5	2827
2	8	2808
3	11	2751
4	13	2690
5	15	2629
6	18	2656
7	20	2584
8	25	2797
9	27	2742
10	30	2711
11	33	2749
12	36	2754
13	39	2747
14	41	2740
15	44	2722
16	49	2842
17	51	2836
18	54	2806
19	58	2869
20	64	2996
21	67	2985
22	75	3186
23	78	3191
24	92	3617
25	98	3700
26	103	3729
27	106	3681
28	110	3690
29	113	3671
30	116	3639
31	118	3588
32	122	3592
33	125	3560
34	130	3610
35	140	3770
36	145	3787
37	154	3920
38	158	3898
39	160	3841
40	164	3845
41	168	3846
42	173	3869
43	185	4020
44	187	3975
45	192	3984
46	196	3984
47	199	3948
48	201	3909
49	207	3934
50	209	3892
51	211	3857
52	215	3846
53	221	3872
54	223	3839
55	226	3814
56	229	3803
57	233	3793
58	234	3746
59	237	3716
60	240	3701
61	242	3674
62	245	3658
63	248	3631
64	250	3608
65	255	3616
66	258	3595
67	262	3604
68	267	3603
69	269	3586
70	272	3564
71	278	3584
72	281	3577
73	284	3556
74	286	3539
75	290	3533
76	293	3522
77	297	3522
78	301	3511
79	305	3514
80	309	3513
81	313	3511
82	316	3497
83	320	3489
84	325	3503
85	327	3485
86	331	3476
87	334	3471
88	339	3479
89	342	3462
90	345	3455
91	348	3440
92	352	3434
93	354	3416
94	356	3399
95	359	3383
96	362	3376
97	364	3357
98	367	3341
99	370	3334
100	373	3321
101	375	3308
102	378	3294
103	380	3279
104	384	3276
105	387	3270
106	390	3259
107	392	3243
108	395	3230
109	398	3220
110	400	3210
111	403	3197
112	405	3184
113	408	3177
114	412	3177
115	415	3166
116	418	3157
117	421	3153
118	426	3157
119	429	3146
120	431	3136
121	438	3157
122	441	3148
123	445	3145
124	448	3139
125	451	3131
126	454	3123
127	460	3138
128	465	3142
129	467	3129
130	473	3143
131	478	3149
132	481	3139
133	485	3136
134	488	3128
135	491	3120
136	493	3110
137	497	3109
138	499	3096
139	505	3104
140	507	3093
141	511	3093
142	514	3083
143	518	3080
144	520	3068
145	524	3065
146	527	3060
147	532	3067
148	536	3065
149	539	3059
150	544	3059
151	546	3048
152	548	3037
153	551	3031
154	554	3023
155	556	3013
156	559	3004
157	561	2994
158	564	2983
159	566	2973
160	570	2972
161	572	2962
162	574	2952
163	578	2946
164	582	2949
165	585	2940
166	587	2932
167	592	2933
168	594	2923
169	597	2918
170	600	2910
171	604	2908
172	607	2905
173	610	2897
174	612	2888
175	615	2880
176	617	2870
177	621	2869
178	623	2860
179	625	2850
180	629	2847
181	631	2839
182	635	2836
183	637	2828
184	640	2820
185	643	2815
186	647	2814
187	650	2808
188	652	2800
189	656	2796
190	658	2789
191	661	2785
192	664	2777
193	667	2772
194	670	2768
195	673	2762
196	676	2756
197	678	2749
198	681	2741
199	684	2737
200	686	2728
201	688	2721
202	691	2714
203	694	2708
204	700	2714
205	702	2708
206	704	2700
207	708	2699
208	712	2696
209	716	2695
210	718	2684
211	721	2682
212	726	2682
213	732	2688
214	750	2741
215	754	2738
216	756	2730
217	760	2728
218	767	2736
219	770	2731
220	773	2724
221	775	2716
222	780	2720
223	783	2713
224	785	2707
225	788	2699
226	794	2705
227	797	2699
228	800	2693
229	802	2686
230	808	2690
231	810	2684
232	814	2680
233	817	2675
234	823	2680
235	828	2682
236	830	2675
237	836	2677
238	840	2674
239	842	2668
240	844	2661
241	850	2664
242	854	2660
243	856	2653
244	859	2647
245	864	2648
246	867	2643
247	869	2636
248	871	2629
249	874	2622
250	876	2615
251	879	2611
252	882	2604
253	884	2597
254	890	2602
255	893	2597
256	896	2590
257	898	2584
258	906	2592
259	909	2588
260	911	2581
261	918	2587
262	921	2582
263	924	2576
264	926	2569
265	934	2577
266	936	2571
267	939	2564
268	941	2557
269	944	2553
270	946	2547
271	949	2540
272	952	2537
273	956	2534
274	959	2530
275	963	2527
276	966	2522
277	970	2520
278	978	2527
279	980	2522
280	983	2516
281	986	2510
282	988	2505
283	992	2501
284	994	2494
285	996	2488
286	1003	2493
287	1006	2488
288	1008	2482
289	1011	2475
290	1016	2476
291	1019	2473
292	1022	2466
293	1024	2460
294	1030	2462
295	1033	2456
296	1035	2451
297	1037	2444
298	1043	2445
299	1045	2440
300	1048	2433
301	1050	2428
302	1056	2430
303	1059	2425
304	1061	2419
305	1064	2413
306	1069	2414
307	1071	2408
308	1074	2402
309	1076	2396
310	1078	2390
311	1085	2393
312	1088	2388
313	1090	2382
314	1092	2376
315	1099	2380
316	1102	2374
317	1104	2369
318	1106	2363
319	1113	2365
320	1115	2360
321	1118	2354
322	1120	2349
323	1126	2351
324	1129	2345
325	1131	2339
326	1134	2334
327	1139	2334
328	1142	2329
329	1144	2324
330	1147	2318
331	1149	2312
332	1152	2308
333	1155	2303
334	1157	2297
335	1159	2292
336	1165	2293
337	1168	2287
338	1170	2283
339	1173	2277
340	1178	2278
341	1182	2274
342	1185	2269
343	1187	2264
344	1193	2265
345	1196	2261
346	1199	2256
347	1201	2251
348	1206	2251
349	1210	2247
350	1213	2242
351	1215	2237
352	1221	2239
353	1225	2236
354	1228	2231
355	1230	2225
356	1236	2226
357	1239	2222
358	1241	2217
359	1243	2211
360	1250	2213
361	1252	2208
362	1255	2203
363	1257	2197
364	1263	2198
365	1266	2193
366	1268	2188
367	1271	2183
368	1277	2184
369	1280	2180
370	1282	2174
371	1285	2169
372	1293	2174
373	1296	2170
374	1299	2166
375	1306	2168
376	1308	2163
377	1311	2158
378	1313	2153
379	1320	2154
380	1323	2149
381	1325	2144
382	1328	2139
383	1334	2140
384	1337	2136
385	1339	2130
386	1342	2125
387	1347	2125
388	1350	2120
389	1352	2116
390	1355	2110
391	1357	2105
392	1360	2101
393	1363	2097
394	1366	2092
395	1368	2087
396	1374	2088
397	1377	2084
398	1379	2077
399	1381	2072
400	1386	2071
401	1389	2067
402	1392	2062
403	1394	2057
404	1400	2057
405	1403	2053
406	1406	2048
407	1408	2043
408	1410	2038
409	1413	2033
410	1416	2030
411	1419	2025
412	1421	2020
413	1427	2020
414	1430	2016
415	1432	2011
416	1435	2006
417	1441	2007
418	1444	2003
419	1447	1998
420	1449	1993
421	1456	1994
422	1459	1990
423	1461	1985
424	1464	1980
425	1471	1982
426	1473	1977
427	1476	1972
428	1478	1967
429	1484	1967
430	1487	1963
431	1489	1958
432	1491	1953
433	1497	1952
434	1500	1948
435	1502	1944
436	1505	1939
437	1512	1941
438	1515	1936
439	1517	1931
440	1520	1927
441	1527	1928
442	1529	1923
443	1532	1918
444	1534	1914
445	1537	1910
446	1540	1905
447	1542	1900
448	1545	1896
449	1549	1893
450	1551	1888
451	1553	1882
452	1555	1878
453	1557	1873
454	1562	1871
455	1564	1866
456	1568	1863
457	1571	1859
458	1576	1857
459	1578	1853
460	1581	1848
461	1583	1844
462	1586	1839
463	1591	1838
464	1594	1834
465	1596	1829
466	1598	1824
467	1604	1823
468	1606	1818
469	1609	1815
470	1612	1810
471	1618	1811
472	1622	1808
473	1626	1804
474	1632	1804
475	1635	1800
476	1642	1800
477	1646	1798
478	1649	1793
479	1655	1793
480	1659	1790
481	1662	1786
482	1674	1792
483	1677	1788
484	1685	1789
485	1688	1786
486	1701	1792
487	1705	1789
488	1715	1792
489	1718	1788
490	1728	1791
491	1730	1787
492	1733	1782
493	1736	1778
494	1739	1774
495	1743	1771
